Latitude,Longitude,Stop Name,Stop Status
40.695976,-73.991083,CADMAN PZ W/TILLARY ST,at stop
40.688573,-73.980149,FULTON ST/HUDSON AV,at stop
40.692478,-73.990615,JORALEMON ST/COURT ST,at stop
40.689465,-73.922318,GATES AV/BROADWAY,at stop
40.689148,-73.981603,FULTON ST/FLATBUSH AV EXT,approaching
40.685523,-73.956549,GATES AV/FRANKLIN AV,approaching
40.686205,-73.950457,GATES AV/NOSTRAND AV,approaching
40.685309,-73.958424,GATES AV/CLASSON AV,approaching
40.6873,-73.940842,GATES AV/THROOP AV,approaching
40.689618,-73.92196,GATES AV/BROADWAY,approaching
40.686832,-73.944981,GATES AV/TOMPKINS AV,approaching
40.700595,-73.90994,GATES AV/WYCKOFF AV,< 1 stop away
40.686816,-73.945117,GATES AV/MARCY AV,< 1 stop away
